date,open,high,low,close,adj close,volume,dividends,stock splits,company,Unnamed: 0,headline,url,publisher,stock
2020-06-10,72.97699737548828,73.71295166015625,72.8134994506836,73.2925033569336,73.20919799804688,30504000,0.0,0.0,GOOG,568379,"Facebook, Snap Analyst Projects Q2 Revenue Upside For Social Media Stocks",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16223516/facebook-snap-analyst-projects-q2-revenue-upside-for-social-media-stocks,Shanthi Rexaline,GOOG
2020-06-10,72.97699737548828,73.71295166015625,72.8134994506836,73.2925033569336,73.20919799804688,30504000,0.0,0.0,GOOG,568380,"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",https://www.benzinga.com/markets/cannabis/20/06/16224494/how-cannabis-company-cannaphyll-is-marketing-on-mass-consumer-platforms-google-and-amazon,Jaycee Tenn,GOOG
2020-06-10,72.97699737548828,73.71295166015625,72.8134994506836,73.2925033569336,73.20919799804688,30504000,0.0,0.0,GOOG,568381,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",https://www.benzinga.com/news/20/06/16218441/twitter-square-will-mark-juneteenth-as-holiday-to-honor-african-american-culture,Shivdeep Dhaliwal,GOOG
2020-06-02,8.796250343322754,8.837249755859375,8.657999992370605,8.825249671936035,8.795022010803223,391320000,0.0,0.0,NVDA,929046,Why BofA Recommends Buying GPU Plays AMD and Nvidia,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16159710/why-bofa-recommends-buying-gpu-plays-amd-and-nvidia,Shanthi Rexaline,NVDA
2020-06-02,8.796250343322754,8.837249755859375,8.657999992370605,8.825249671936035,8.795022010803223,391320000,0.0,0.0,NVDA,929047,"Cramer Weighs In On Ciena, Harley-Davidson And More",https://www.benzinga.com/media/20/06/16156600/cramer-weighs-in-on-ciena-harley-davidson-and-more,Craig Jones,NVDA
2020-06-08,8.877249717712402,8.889749526977539,8.685750007629395,8.805000305175781,8.778846740722656,387736000,0.0,0.0,NVDA,929043,Afternoon Market Stats in 5 Minutes,https://www.benzinga.com/markets/20/06/16203190/afternoon-market-stats-in-5-minutes,Benzinga Insights,NVDA
2020-06-08,8.877249717712402,8.889749526977539,8.685750007629395,8.805000305175781,8.778846740722656,387736000,0.0,0.0,NVDA,929044,Shares of some technology companies are trading lower despite market strength. The sector has performed well this year to date and appears to be giving back some gains following run up.,https://www.benzinga.com/wiim/20/06/16202647/shares-of-some-technology-companies-are-trading-lower-despite-market-strength-the-sector-has-perform,Benzinga Newsdesk,NVDA
2020-06-08,8.877249717712402,8.889749526977539,8.685750007629395,8.805000305175781,8.778846740722656,387736000,0.0,0.0,NVDA,929045,Morning Market Stats in 5 Minutes,https://www.benzinga.com/intraday-update/20/06/16201614/morning-market-stats-in-5-minutes,Benzinga Insights,NVDA
2020-06-09,8.800000190734863,9.109749794006348,8.751250267028809,9.04599952697754,9.019128799438477,468488000,0.0,0.0,NVDA,929042,Shares of several technology companies are trading higher despite market weakness. The sector recently experienced some welling and appears to be rebounding following dip.,https://www.benzinga.com/wiim/20/06/16214789/shares-of-several-technology-companies-are-trading-higher-despite-market-weakness-the-sector-recentl,Benzinga Newsdesk,NVDA
2020-06-10,9.167750358581545,9.5,9.153499603271484,9.36674976348877,9.3389253616333,632180000,0.0,0.0,NVDA,929039,Shares of several technology companies are trading higher on continued volatility despite market weakness. The sector sold off recently as other sectors gained amid US economic reopening and appears to be rebounding.,https://www.benzinga.com/wiim/20/06/16224173/shares-of-several-technology-companies-are-trading-higher-on-continued-volatility-despite-market-wea,Benzinga Newsdesk,NVDA
